=== RELATÓRIO DE RETENÇÃO (MYFITNESSPAL) ===
Dia	Usuários Ativos	Retenção (%)
Dia 0	9873	100.00%
Dia 1	6627	67.12%
Dia 2	5953	60.30%
Dia 3	5548	56.19%
Dia 4	5190	52.57%
Dia 5	4906	49.69%
Dia 6	4893	49.56%
Dia 7	5143	52.09%
Dia 8	4927	49.90%
Dia 9	4763	48.24%
Dia 10	4652	47.12%
Dia 11	4464	45.21%
Dia 12	4327	43.83%
Dia 13	4339	43.95%
Dia 14	4510	45.68%
Dia 15	4457	45.14%
Dia 16	4379	44.35%
Dia 17	4233	42.87%
Dia 18	4162	42.16%
Dia 19	3953	40.04%
Dia 20	3969	40.20%
Dia 21	4255	43.10%
Dia 22	4136	41.89%
Dia 23	4059	41.11%
Dia 24	3937	39.88%
Dia 25	3862	39.12%
Dia 26	3679	37.26%
Dia 27	3785	38.34%
Dia 28	3971	40.22%
Dia 29	3880	39.30%
Dia 30	3834	38.83%
